59.124.81.19,#genre#
海峽衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1563.m3u8
CCTV4-中央衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2736.m3u8
廈門衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1568.m3u8
浙江衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2775.m3u8
湖南衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/hunanws.m3u8
鳯凰衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1282.m3u8
鳳凰中文台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2046.m3u8
東方衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/dfws.m3u8
CNBC,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1787.m3u8
Bloomberg News,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1558.m3u8
Discovery,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1001.m3u8
Trace Sport Stars,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1002.m3u8
動物星球,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1004.m3u8
旅遊生活,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1510.m3u8
ANIMAX,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1234.m3u8
momo親子台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1102.m3u8
東森幼幼,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1462.m3u8
寵物頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1045.m3u8
博斯運動一,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1114.m3u8
momo 綜合台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1210.m3u8
緯來體育,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1162.m3u8
Bloomberg News,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2632.m3u8
非凡商業,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1426.m3u8
非凡新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1318.m3u8
東森新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1126.m3u8
寰宇新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2408.m3u8
三立新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2435.m3u8
東森財經,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1474.m3u8
東森綜合,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1150.m3u8
東森戲劇,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1522.m3u8
八大綜合,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1561.m3u8
八大第一,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1562.m3u8
三立都會,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1330.m3u8
三立台灣,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1569.m3u8
中天綜合,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1390.m3u8
中天娛樂,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1306.m3u8
韓國娛樂台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1294.m3u8
好萊塢電影,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1378.m3u8
緯來綜合,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1246.m3u8
緯來育樂,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1570.m3u8
緯來日本,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1222.m3u8
